indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2016-01,Aérea,Bolivia,4206.6
2016-01,Aérea,Brasil,105255.5
2016-01,Aérea,Chile,27596.7
2016-01,Aérea,Paraguay,3097.2
2016-01,Aérea,Uruguay,15872.2
2016-01,Aérea,EE.UU. y Canadá,54300.1
2016-01,Aérea,Resto de América,77403.4
2016-01,Aérea,Europa,31531.4
2016-01,Aérea,Resto del mundo,12736
2016-01,Terrestre,Bolivia,50456.4
2016-01,Terrestre,Brasil,359916.4
2016-01,Terrestre,Chile,335435.5
2016-01,Terrestre,Paraguay,128491.4
2016-01,Terrestre,Uruguay,168571.2
2016-01,Terrestre,EE.UU. y Canadá,279.2
2016-01,Terrestre,Resto de América,3666.6
2016-01,Terrestre,Europa,520.2
2016-01,Terrestre,Resto del mundo,234
2016-01,Fluvial/Marítima,Bolivia,6496
2016-01,Fluvial/Marítima,Brasil,28413.2
2016-01,Fluvial/Marítima,Chile,11519.4
2016-01,Fluvial/Marítima,Paraguay,9920.3
2016-01,Fluvial/Marítima,Uruguay,102277.6
2016-01,Fluvial/Marítima,EE.UU. y Canadá,1210
2016-01,Fluvial/Marítima,Resto de América,334.1
2016-01,Fluvial/Marítima,Europa,733
2016-01,Fluvial/Marítima,Resto del mundo,84.8
2016-02,Aérea,Bolivia,6291.9
2016-02,Aérea,Brasil,101113.6
2016-02,Aérea,Chile,28971.2
2016-02,Aérea,Paraguay,2608.4
2016-02,Aérea,Uruguay,12398.4
2016-02,Aérea,EE.UU. y Canadá,61133.9
2016-02,Aérea,Resto de América,86252.3
2016-02,Aérea,Europa,44764.1
2016-02,Aérea,Resto del mundo,15560.4
2016-02,Terrestre,Bolivia,63329.7
2016-02,Terrestre,Brasil,327470.7
2016-02,Terrestre,Chile,313945.8
2016-02,Terrestre,Paraguay,97491.8
2016-02,Terrestre,Uruguay,177215.2
2016-02,Terrestre,EE.UU. y Canadá,230.3
2016-02,Terrestre,Resto de América,3023.9
2016-02,Terrestre,Europa,429
2016-02,Terrestre,Resto del mundo,193
2016-02,Fluvial/Marítima,Bolivia,4774
2016-02,Fluvial/Marítima,Brasil,28483.9
2016-02,Fluvial/Marítima,Chile,12530.4
2016-02,Fluvial/Marítima,Paraguay,9692.6
2016-02,Fluvial/Marítima,Uruguay,100631.6
2016-02,Fluvial/Marítima,EE.UU. y Canadá,718
2016-02,Fluvial/Marítima,Resto de América,1080.3
2016-02,Fluvial/Marítima,Europa,369.1
2016-02,Fluvial/Marítima,Resto del mundo,116.5
2016-03,Aérea,Bolivia,4228.9
2016-03,Aérea,Brasil,98508.2
2016-03,Aérea,Chile,25864.6
2016-03,Aérea,Paraguay,2329.2
2016-03,Aérea,Uruguay,6995.7
2016-03,Aérea,EE.UU. y Canadá,71040
2016-03,Aérea,Resto de América,70331.5
2016-03,Aérea,Europa,45269.1
2016-03,Aérea,Resto del mundo,15909.9
2016-03,Terrestre,Bolivia,34113.4
2016-03,Terrestre,Brasil,136165
2016-03,Terrestre,Chile,193075.9
2016-03,Terrestre,Paraguay,68557.6
2016-03,Terrestre,Uruguay,90377
2016-03,Terrestre,EE.UU. y Canadá,230.5
2016-03,Terrestre,Resto de América,3027.1
2016-03,Terrestre,Europa,429.5
2016-03,Terrestre,Resto del mundo,193.2
2016-03,Fluvial/Marítima,Bolivia,6323
2016-03,Fluvial/Marítima,Brasil,11479.7
2016-03,Fluvial/Marítima,Chile,4854
2016-03,Fluvial/Marítima,Paraguay,7566.2
2016-03,Fluvial/Marítima,Uruguay,63288.7
2016-03,Fluvial/Marítima,EE.UU. y Canadá,95
2016-03,Fluvial/Marítima,Resto de América,184.3
2016-03,Fluvial/Marítima,Europa,50.9
2016-03,Fluvial/Marítima,Resto del mundo,16.1
2016-04,Aérea,Bolivia,3202.3
2016-04,Aérea,Brasil,66582.2
2016-04,Aérea,Chile,22702.1
2016-04,Aérea,Paraguay,2851.8
2016-04,Aérea,Uruguay,5045.3
2016-04,Aérea,EE.UU. y Canadá,64893.8
2016-04,Aérea,Resto de América,68378.6
2016-04,Aérea,Europa,44043.4
2016-04,Aérea,Resto del mundo,14871.5
2016-04,Terrestre,Bolivia,28300.6
2016-04,Terrestre,Brasil,53143.7
2016-04,Terrestre,Chile,113887
2016-04,Terrestre,Paraguay,66681.9
2016-04,Terrestre,Uruguay,27907.3
2016-04,Terrestre,EE.UU. y Canadá,97.3
2016-04,Terrestre,Resto de América,1277.3
2016-04,Terrestre,Europa,181.2
2016-04,Terrestre,Resto del mundo,81.5
2016-04,Fluvial/Marítima,Bolivia,5602
2016-04,Fluvial/Marítima,Brasil,4626.5
2016-04,Fluvial/Marítima,Chile,136.7
2016-04,Fluvial/Marítima,Paraguay,6473.7
2016-04,Fluvial/Marítima,Uruguay,25137.2
2016-04,Fluvial/Marítima,EE.UU. y Canadá,114.9
2016-04,Fluvial/Marítima,Resto de América,249.4
2016-04,Fluvial/Marítima,Europa,56.6
2016-04,Fluvial/Marítima,Resto del mundo,17.9
2016-05,Aérea,Bolivia,2899
2016-05,Aérea,Brasil,49208.8
2016-05,Aérea,Chile,24858.8
2016-05,Aérea,Paraguay,3485.7
2016-05,Aérea,Uruguay,5516
2016-05,Aérea,EE.UU. y Canadá,77011.9
2016-05,Aérea,Resto de América,67466
2016-05,Aérea,Europa,59305.7
2016-05,Aérea,Resto del mundo,12396.1
2016-05,Terrestre,Bolivia,28363.8
2016-05,Terrestre,Brasil,35099.6
2016-05,Terrestre,Chile,93967.7
2016-05,Terrestre,Paraguay,70291.8
2016-05,Terrestre,Uruguay,25707.2
2016-05,Terrestre,EE.UU. y Canadá,14.2
2016-05,Terrestre,Resto de América,185.9
2016-05,Terrestre,Europa,26.4
2016-05,Terrestre,Resto del mundo,11.9
2016-05,Fluvial/Marítima,Bolivia,7407
2016-05,Fluvial/Marítima,Brasil,6971.6
2016-05,Fluvial/Marítima,Chile,41.6
2016-05,Fluvial/Marítima,Paraguay,8086.6
2016-05,Fluvial/Marítima,Uruguay,26017.8
2016-05,Fluvial/Marítima,EE.UU. y Canadá,140.5
2016-05,Fluvial/Marítima,Resto de América,342.8
2016-05,Fluvial/Marítima,Europa,107.8
2016-05,Fluvial/Marítima,Resto del mundo,14.3
2016-06,Aérea,Bolivia,2363.3
2016-06,Aérea,Brasil,41416.8
2016-06,Aérea,Chile,30063.1
2016-06,Aérea,Paraguay,3467.9
2016-06,Aérea,Uruguay,5570.3
2016-06,Aérea,EE.UU. y Canadá,73990.7
2016-06,Aérea,Resto de América,61438.5
2016-06,Aérea,Europa,78530.4
2016-06,Aérea,Resto del mundo,9357.1
2016-06,Terrestre,Bolivia,28099.5
2016-06,Terrestre,Brasil,39121.1
2016-06,Terrestre,Chile,63002.7
2016-06,Terrestre,Paraguay,74236.8
2016-06,Terrestre,Uruguay,31486.1
2016-06,Terrestre,EE.UU. y Canadá,61.6
2016-06,Terrestre,Resto de América,808.6
2016-06,Terrestre,Europa,114.7
2016-06,Terrestre,Resto del mundo,51.6
2016-06,Fluvial/Marítima,Bolivia,8964
2016-06,Fluvial/Marítima,Brasil,4689.9
