UserID,Gender
tw-1267804344,Unknown
tw-27229880,Male
tw-199664730,Male
tw-99958381,Unknown
tw-126745533,Male
tw-4598715683,Male
tw-330939742,Male
tw-9108612,Unknown
tw-4244605367,Male
tw-45546903,Unisex
tw-4762500137,Female
tw-221246201,Unknown
tw-94659857,Male
tw-85915360,Female
tw-285124158,Unknown
tw-928769635,Female
tw-3339262295,Unisex
tw-603079375,Unisex
tw-40031027,Unknown
tw-534659000,Male
tw-4429255415,Unknown
tw-391042156,Female
tw-4204535771,Unisex
tw-12660502,Unknown
tw-534619276,Unknown
tw-585080988,Male
tw-149670610,Male
tw-3311749822,Female
tw-2444596871,Unknown
tw-14768048,Male
tw-37522835,Male
tw-223568500,Male
tw-23523919,Unisex
tw-21416609,Male
tw-2685599325,Female
tw-1969045994,Unknown
tw-4871222140,Unknown
tw-2431280243,Female
tw-15251377,Female
tw-16520395,Unisex
tw-14946836,Male
tw-15515020,Male
tw-457193677,Unknown
tw-4454068276,Female
tw-199496002,Unknown
tw-281037937,Male
tw-3777423857,Unknown
tw-3008658821,Female
tw-3296975107,Unknown
tw-2226975354,Male
tw-1325260814,Female
tw-2780351863,Unknown
tw-3820927883,Female
tw-538374150,Unknown
tw-915917119,Unknown
tw-1537745388,Female
tw-3195253173,Female
tw-14654522,Male
tw-38228764,Unknown
tw-185478059,Male
tw-3149709477,Male
tw-35760865,Male
tw-557961424,Female
tw-3293618474,Unknown
tw-2443180274,Female
tw-29399931,Female
tw-719097242,Female
tw-317463387,Male
tw-1312642136,Unknown
tw-1951704132,Male
tw-29213887,Male
tw-4331324416,Female
tw-3231977097,Male
tw-1883909496,Female
tw-87462296,Male
tw-1375485187,Female
tw-4416918881,Unknown
tw-2962660547,Unisex
tw-49522784,Male
tw-1375485187,Male
tw-19337047,Female
tw-100283608,Female
tw-2557814946,Female
tw-1092940892,Female
tw-3558378179,Unknown
tw-715300641254555648,Unknown
tw-709445070366351360,Female
tw-8876782,Male
tw-3367849402,Unknown
tw-510285296,Male
tw-16520395,Male
tw-12153862,Male
tw-163203518,Male
tw-371584565,Unknown
tw-65151593,Male
tw-2773873043,Female
tw-105830614,Male
tw-58982048,Male
tw-2442236751,Female
tw-39740827,Male
tw-305073979,Unknown
tw-22907886,Male
tw-182166145,Female
tw-2962660547,Female
tw-720310638891950080,Unknown
tw-133729321,Unisex
tw-717876571600764928,Unisex
tw-865542126,Male
tw-44787373,Male
tw-157623421,Male
tw-468862294,Male
tw-153560687,Male
tw-3064236219,Female
tw-157134632,Unknown
tw-196390930,Male
tw-23582581,Male
tw-249135930,Unknown
tw-740531350609006592,Unknown
tw-329661096,Male
tw-17082377,Unknown
tw-184589949,Male
tw-2779917387,Unknown
tw-805272,Male
tw-2696054760,Unknown
tw-179785777,Unisex
tw-4629182915,Male
tw-1350535152,Unisex
tw-2981531620,Female
tw-20533296,Male
tw-21232107,Unisex
tw-132573403,Unknown
tw-14119614,Male
tw-67699724,Male
tw-948686083,Female
tw-118790655,Male
