,Celulares,Precios sin descuento,Precios con descuento
0,Celular Samsung Galaxy A72 128 GB Azul,$ 74.999,$ 66.999
1,Celular Samsung Galaxy S20FE 128 GB Verde,$ 86.999,$ 76.999
2,Celular LG K52 64 GB Azul,$ 31.999,$ 24.999
3,Celular Samsung Galaxy S21 128 GB Blanco,$ 133.999,$ 114.999
4,Celular Motorola E7 32GB Aqua,$ 21.999,$ 20.999
5,Celular LG K51s 64 GB Titanium,$ 31.999,$ 24.999
6,Celular Motorola G100 128 GB Azul,$ 89.999,$ 79.999
7,Celular Alcatel 3H 64 GB Negro,$ 24.999,$ 20.399
8,Celular LG K41S 32GB Titanium,$ 24.999,$ 21.999
9,Celular Motorola E6I 32 GB Gris,$ 17.999,$ 15.999
10,Celular Samsung Galaxy A02 Negro 64GB,$ 37.999,$ 24.999
11,Celular Motorola G20 64GB Rosa,$ 86.999,$ 29.999
12,Celular Motorola E7i Power 32 GB Azul,$ 31.999,$ 19.999
13,Celular Samsung Galaxy A21s 128 GB Negro,$ 86.999,$ 40.999
14,Celular LG K61 128 GB Gris,$ 21.999,$ 29.999
