provincia,localidad,nombre,direccion_descripcion,piso,codigo_postal,codigo_indicativo_telefono,telefono,mail,web
 Santa Fe,Rosario,Aula Biblioteca Dres. Salk y Sabin,Ocampo 1498,,S2000EYD,0341,4822295,ilar@cablenet.com.ar,www.cablenet.com.ar/ilar
Río Negro,San Carlos de Bariloche,Biblioteca - Iidypca. Instituto de Investigaciones En Diversidad Cultural y Procesos de Cambio. Unrn. Universidad Nacional de Río Negro,Sarmiento Inferior 3974,,R8403BNH,02944,441809,iidypca@unrn.edu.ar,http://iidypca.homestead.com/index.html
Catamarca,San Fernando del Valle de Catamarca,Red de Bibliotecas Universitarias,Esquiu 612,,8300,03833,424099,nellygom1@hotmail.com,,
Santa Fe,Reconquista,Biblioteca,Ruta 11 Km. 773,,S3560WAA,03482,420117,msosa@correo.inta.gov.ar,http://www.inta.gov.ar/info/biblio/bases/ccppaa.htm
Buenos Aires,Campana,Biblioteca Ing. José María Arenaza,San Martín 1171,,,03489,420400,biblioteca@frd.utn.edu.ar, 
Buenos Aires,Campana,Instituto de Formación Docente y Técnica Nº 15 / Bpn Nº 41 Prof. Alberto Gauthier,Lavalle 342,,2804,03489,422931,bpn4115@yahoo.com.ar,www.instsup15campana.com.ar
Buenos Aires,Campana,Estación Experimental Agrop Delta del Paraná,Paraná de Las Palmas C.L.Comas,,B2804WAA,03489,460075,bibliodelta@correo.inta.gov.ar,http://www.inta.gov.ar/delta/actividad/biblioteca.html
Santa Fe,Esperanza,Biblioteca Central,Padre Luis Kredder 2805,,S3080HOF,03496,420639,favebib@unl.edu.ar,http://www.unl.edu.ar/eje.php?ID=198
Córdoba,Villa María,Biblioteca - Universidad Nacional de Villa María,Arturo Jauretche 1555,,5900,0353,4539144,biblioteca@rec.unvm.edu.ar, 
Córdoba,Villa María,Biblioteca - Instituto de Investigación. Universidad Nacional de Villa María,San Juan 1277,,5900,0353,4539102,investigacion@rec.unvm.edu.ar,www.unvm.edu.ar
Córdoba,San Francisco,Biblioteca - Universidad Tecnológica Nacional. Regional San Francisco,Av. de la Universidad 501,,2400,03564,421147,biblioteca@frsfco.utn.edu.ar,www.frsfco.utn.edu.ar/biblioteca
