"Relación Compra Alquiler","departamento",año,valor
"Compra","Montevideo",2006,16
"Compra","Artigas",2006,9.3
"Compra","Canelones",2006,15.5
"Compra","Cerro Largo",2006,11.8
"Compra","Colonia",2006,14.6
"Compra","Durazno",2006,9.8
"Compra","Flores",2006,12.6
"Compra","Florida",2006,8.8
"Compra","Lavalleja",2006,12.2
"Compra","Maldonado",2006,14.8
"Compra","Paysandu",2006,11.9
"Compra","Rio Negro",2006,10.8
"Compra","Rivera",2006,11.3
"Compra","Rocha",2006,12.1
"Compra","Salto",2006,11.8
"Compra","San José",2006,13.7
"Compra","Soriano",2006,10.8
"Compra","Tacuarembó",2006,12.9
"Compra","Treinta y Tres",2006,10.9
"Alquiler","Montevideo",2006,21.1
"Alquiler","Artigas",2006,16.1
"Alquiler","Canelones",2006,18.8
"Alquiler","Cerro Largo",2006,16.4
"Alquiler","Colonia",2006,17.8
"Alquiler","Durazno",2006,16.7
"Alquiler","Flores",2006,17.1
"Alquiler","Florida",2006,15.6
"Alquiler","Lavalleja",2006,17.7
"Alquiler","Maldonado",2006,19.7
"Alquiler","Paysandu",2006,19.5
"Alquiler","Rio Negro",2006,17
"Alquiler","Rivera",2006,15.2
"Alquiler","Rocha",2006,16.7
"Alquiler","Salto",2006,17.1
"Alquiler","San José",2006,17.8
"Alquiler","Soriano",2006,16.9
"Alquiler","Tacuarembó",2006,17.9
"Alquiler","Treinta y Tres",2006,15.5
"Compra","Montevideo",2007,15
"Compra","Artigas",2007,8.6
"Compra","Canelones",2007,15.2
"Compra","Cerro Largo",2007,10.8
"Compra","Colonia",2007,13.2
"Compra","Durazno",2007,9.6
"Compra","Flores",2007,11
"Compra","Florida",2007,8.8
"Compra","Lavalleja",2007,9.7
"Compra","Maldonado",2007,12.4
"Compra","Paysandu",2007,11.1
"Compra","Rio Negro",2007,11.3
"Compra","Rivera",2007,10.5
"Compra","Rocha",2007,15.6
"Compra","Salto",2007,11.8
"Compra","San José",2007,11.2
"Compra","Soriano",2007,10.2
"Compra","Tacuarembó",2007,13.1
"Compra","Treinta y Tres",2007,10.9
"Alquiler","Montevideo",2007,20.2
"Alquiler","Artigas",2007,13.8
"Alquiler","Canelones",2007,17.8
"Alquiler","Cerro Largo",2007,15.6
"Alquiler","Colonia",2007,17.5
"Alquiler","Durazno",2007,14.3
"Alquiler","Flores",2007,16
"Alquiler","Florida",2007,16.6
"Alquiler","Lavalleja",2007,15
"Alquiler","Maldonado",2007,18.6
"Alquiler","Paysandu",2007,17.6
"Alquiler","Rio Negro",2007,18.8
"Alquiler","Rivera",2007,16.5
"Alquiler","Rocha",2007,15.9
"Alquiler","Salto",2007,15.9
"Alquiler","San José",2007,15.6
"Alquiler","Soriano",2007,15.9
"Alquiler","Tacuarembó",2007,16.6
"Alquiler","Treinta y Tres",2007,14.9
"Compra","Montevideo",2008,14.1
"Compra","Artigas",2008,7.1
"Compra","Canelones",2008,12
"Compra","Cerro Largo",2008,10.4
"Compra","Colonia",2008,11.3
"Compra","Durazno",2008,9.7
"Compra","Flores",2008,9.3
"Compra","Florida",2008,9.1
"Compra","Lavalleja",2008,10.8
"Compra","Maldonado",2008,10.5
"Compra","Paysandu",2008,7.7
"Compra","Rio Negro",2008,8.3
"Compra","Rivera",2008,9.4
"Compra","Rocha",2008,11.1
"Compra","Salto",2008,11.6
"Compra","San José",2008,10.3
"Compra","Soriano",2008,9.3
"Compra","Tacuarembó",2008,12.9
"Compra","Treinta y Tres",2008,9.2
"Alquiler","Montevideo",2008,19.4
"Alquiler","Artigas",2008,14
"Alquiler","Canelones",2008,16.5
"Alquiler","Cerro Largo",2008,14.5
"Alquiler","Colonia",2008,17.1
"Alquiler","Durazno",2008,15.4
"Alquiler","Flores",2008,16.2
"Alquiler","Florida",2008,11.2
"Alquiler","Lavalleja",2008,15.5
"Alquiler","Maldonado",2008,17.6
"Alquiler","Paysandu",2008,17.2
"Alquiler","Rio Negro",2008,17
"Alquiler","Rivera",2008,14.8
"Alquiler","Rocha",2008,13.9
"Alquiler","Salto",2008,16
"Alquiler","San José",2008,15.3
"Alquiler","Soriano",2008,13.6
"Alquiler","Tacuarembó",2008,15.4
"Alquiler","Treinta y Tres",2008,14
"Compra","Montevideo",2009,14.3
"Compra","Artigas",2009,6.9
"Compra","Canelones",2009,12.2
"Compra","Cerro Largo",2009,11.1
"Compra","Colonia",2009,12.6
"Compra","Durazno",2009,8.9
"Compra","Flores",2009,9.4
"Compra","Florida",2009,6.2
"Compra","Lavalleja",2009,9.4
"Compra","Maldonado",2009,13.5
"Compra","Paysandu",2009,11.1
"Compra","Rio Negro",2009,10.1
"Compra","Rivera",2009,10.4
"Compra","Rocha",2009,8.1
"Compra","Salto",2009,8.7
"Compra","San José",2009,9.5
"Compra","Soriano",2009,9.2
"Compra","Tacuarembó",2009,9.4
"Compra","Treinta y Tres",2009,13.3
"Alquiler","Montevideo",2009,21.7
"Alquiler","Artigas",2009,15.8
"Alquiler","Canelones",2009,16.2
"Alquiler","Cerro Largo",2009,14.6
"Alquiler","Colonia",2009,17.2
"Alquiler","Durazno",2009,13.3
"Alquiler","Flores",2009,17.8
"Alquiler","Florida",2009,15.3
"Alquiler","Lavalleja",2009,18
"Alquiler","Maldonado",2009,18.7
"Alquiler","Paysandu",2009,19.5
"Alquiler","Rio Negro",2009,18.6
"Alquiler","Rivera",2009,14.6
"Alquiler","Rocha",2009,14.7
"Alquiler","Salto",2009,16.7
"Alquiler","San José",2009,15.5
"Alquiler","Soriano",2009,15.2
"Alquiler","Tacuarembó",2009,17.4
"Alquiler","Treinta y Tres",2009,15.2
"Compra","Montevideo",2010,13.9
"Compra","Artigas",2010,6.3
"Compra","Canelones",2010,12.2
"Compra","Cerro Largo",2010,9.2
"Compra","Colonia",2010,12
"Compra","Durazno",2010,7.5
"Compra","Flores",2010,10.2
"Compra","Florida",2010,6.7
"Compra","Lavalleja",2010,8.8
"Compra","Maldonado",2010,11.6
"Compra","Paysandu",2010,7.1
"Compra","Rio Negro",2010,7.4
"Compra","Rivera",2010,7
"Compra","Rocha",2010,8.4
"Compra","Salto",2010,8.1
"Compra","San José",2010,8.5
"Compra","Soriano",2010,8.2
"Compra","Tacuarembó",2010,9.9
"Compra","Treinta y Tres",2010,9.3
"Alquiler","Montevideo",2010,20.9
"Alquiler","Artigas",2010,25.7
"Alquiler","Canelones",2010,16.1
"Alquiler","Cerro Largo",2010,15.2
"Alquiler","Colonia",2010,15.7
"Alquiler","Durazno",2010,15.2
"Alquiler","Flores",2010,15.3
"Alquiler","Florida",2010,17.1
"Alquiler","Lavalleja",2010,13.8
"Alquiler","Maldonado",2010,19.3
"Alquiler","Paysandu",2010,17.5
"Alquiler","Rio Negro",2010,15.3
"Alquiler","Rivera",2010,13.7
"Alquiler","Rocha",2010,14.1
"Alquiler","Salto",2010,16.5
"Alquiler","San José",2010,16
"Alquiler","Soriano",2010,16
"Alquiler","Tacuarembó",2010,16.1
"Alquiler","Treinta y Tres",2010,14.3
"Compra","Montevideo",2011,14.1
"Compra","Artigas",2011,6.8
"Compra","Canelones",2011,12.4
"Compra","Cerro Largo",2011,9.9
"Compra","Colonia",2011,12.6
"Compra","Durazno",2011,8.2
"Compra","Flores",2011,10.2
"Compra","Florida",2011,8.1
"Compra","Lavalleja",2011,12.8
"Compra","Maldonado",2011,11.1
"Compra","Paysandu",2011,9.9
"Compra","Rio Negro",2011,10.2
"Compra","Rivera",2011,10.4
"Compra","Rocha",2011,9.3
"Compra","Salto",2011,11.1
"Compra","San José",2011,11.6
"Compra","Soriano",2011,7.9
"Compra","Tacuarembó",2011,10.2
"Compra","Treinta y Tres",2011,9.7
"Alquiler","Montevideo",2011,21.4
"Alquiler","Artigas",2011,15.2
"Alquiler","Canelones",2011,16.5
"Alquiler","Cerro Largo",2011,16.3
"Alquiler","Colonia",2011,17.1
"Alquiler","Durazno",2011,15.7
"Alquiler","Flores",2011,16.3
"Alquiler","Florida",2011,16.1
"Alquiler","Lavalleja",2011,17
"Alquiler","Maldonado",2011,19.5
"Alquiler","Paysandu",2011,17.9
"Alquiler","Rio Negro",2011,15.8
"Alquiler","Rivera",2011,16.2
"Alquiler","Rocha",2011,13.9
"Alquiler","Salto",2011,18.3
"Alquiler","San José",2011,15.4
"Alquiler","Soriano",2011,17.2
"Alquiler","Tacuarembó",2011,19
"Alquiler","Treinta y Tres",2011,14.5
"Compra","Montevideo",2012,13.5
"Compra","Artigas",2012,8.1
"Compra","Canelones",2012,13.1
"Compra","Cerro Largo",2012,8.8
"Compra","Colonia",2012,10.9
"Compra","Durazno",2012,7.9
"Compra","Flores",2012,11.3
"Compra","Florida",2012,8.8
"Compra","Lavalleja",2012,11.8
"Compra","Maldonado",2012,11.4
"Compra","Paysandu",2012,10.4
"Compra","Rio Negro",2012,7.7
"Compra","Rivera",2012,9.5
"Compra","Rocha",2012,9.4
"Compra","Salto",2012,10.9
"Compra","San José",2012,9.8
"Compra","Soriano",2012,10.9
"Compra","Tacuarembó",2012,9.2
"Compra","Treinta y Tres",2012,13.1
"Alquiler","Montevideo",2012,21.5
"Alquiler","Artigas",2012,16.1
"Alquiler","Canelones",2012,17.7
"Alquiler","Cerro Largo",2012,17.3
"Alquiler","Colonia",2012,19
"Alquiler","Durazno",2012,20.2
"Alquiler","Flores",2012,18.2
"Alquiler","Florida",2012,18.4
"Alquiler","Lavalleja",2012,16.1
"Alquiler","Maldonado",2012,20.1
"Alquiler","Paysandu",2012,18.7
"Alquiler","Rio Negro",2012,18.6
"Alquiler","Rivera",2012,17.7
"Alquiler","Rocha",2012,15.8
"Alquiler","Salto",2012,18.4
"Alquiler","San José",2012,16
"Alquiler","Soriano",2012,17.3
"Alquiler","Tacuarembó",2012,20.4
"Alquiler","Treinta y Tres",2012,15.6
"Compra","Montevideo",2013,13.8
"Compra","Artigas",2013,6.4
"Compra","Canelones",2013,11.1
"Compra","Cerro Largo",2013,7.1
"Compra","Colonia",2013,9.2
"Compra","Durazno",2013,8.3
"Compra","Flores",2013,8.3
"Compra","Florida",2013,6.4
"Compra","Lavalleja",2013,10.5
"Compra","Maldonado",2013,11
"Compra","Paysandu",2013,7.1
"Compra","Rio Negro",2013,9.2
"Compra","Rivera",2013,8.4
"Compra","Rocha",2013,11.2
"Compra","Salto",2013,8
"Compra","San José",2013,6.9
"Compra","Soriano",2013,6.2
"Compra","Tacuarembó",2013,10
"Compra","Treinta y Tres",2013,8.7
"Alquiler","Montevideo",2013,21.9
"Alquiler","Artigas",2013,18.9
"Alquiler","Canelones",2013,17.1
"Alquiler","Cerro Largo",2013,15.9
"Alquiler","Colonia",2013,17.4
"Alquiler","Durazno",2013,16.8
"Alquiler","Flores",2013,15.5
"Alquiler","Florida",2013,16.5
"Alquiler","Lavalleja",2013,16.5
"Alquiler","Maldonado",2013,20.2
"Alquiler","Paysandu",2013,17.3
"Alquiler","Rio Negro",2013,15.3
"Alquiler","Rivera",2013,17.7
"Alquiler","Rocha",2013,15.6
"Alquiler","Salto",2013,18.5
"Alquiler","San José",2013,16.5
"Alquiler","Soriano",2013,15.8
"Alquiler","Tacuarembó",2013,18.1
"Alquiler","Treinta y Tres",2013,17.2
"Compra","Montevideo",2014,14.3
"Compra","Artigas",2014,4.3
"Compra","Canelones",2014,11.9
"Compra","Cerro Largo",2014,7.6
"Compra","Colonia",2014,12.2
"Compra","Durazno",2014,5.7
"Compra","Flores",2014,7.6
"Compra","Florida",2014,6.5
"Compra","Lavalleja",2014,12
"Compra","Maldonado",2014,11
"Compra","Paysandu",2014,8.6
"Compra","Rio Negro",2014,7.5
"Compra","Rivera",2014,10
"Compra","Rocha",2014,8.7
"Compra","Salto",2014,8
"Compra","San José",2014,7.8
"Compra","Soriano",2014,10.1
