,Relaci�n Compra Alquiler,departamento,a�o,valor
0,Compra,Montevideo,2006,16.0
1,Compra,Artigas,2006,9.3
2,Compra,Canelones,2006,15.5
3,Compra,Cerro Largo,2006,11.8
4,Compra,Colonia,2006,14.6
5,Compra,Durazno,2006,9.8
6,Compra,Flores,2006,12.6
7,Compra,Florida,2006,8.8
8,Compra,Lavalleja,2006,12.2
9,Compra,Maldonado,2006,14.8
10,Compra,Paysandu,2006,11.9
11,Compra,Rio Negro,2006,10.8
12,Compra,Rivera,2006,11.3
13,Compra,Rocha,2006,12.1
14,Compra,Salto,2006,11.8
15,Compra,San Jos�,2006,13.7
16,Compra,Soriano,2006,10.8
17,Compra,Tacuaremb�,2006,12.9
18,Compra,Treinta y Tres,2006,10.9
19,Alquiler,Montevideo,2006,21.1
20,Alquiler,Artigas,2006,16.1
21,Alquiler,Canelones,2006,18.8
22,Alquiler,Cerro Largo,2006,16.4
23,Alquiler,Colonia,2006,17.8
24,Alquiler,Durazno,2006,16.7
25,Alquiler,Flores,2006,17.1
26,Alquiler,Florida,2006,15.6
27,Alquiler,Lavalleja,2006,17.7
28,Alquiler,Maldonado,2006,19.7
29,Alquiler,Paysandu,2006,19.5
30,Alquiler,Rio Negro,2006,17.0
31,Alquiler,Rivera,2006,15.2
32,Alquiler,Rocha,2006,16.7
33,Alquiler,Salto,2006,17.1
34,Alquiler,San Jos�,2006,17.8
35,Alquiler,Soriano,2006,16.9
36,Alquiler,Tacuaremb�,2006,17.9
37,Alquiler,Treinta y Tres,2006,15.5
38,Compra,Montevideo,2007,15.0
39,Compra,Artigas,2007,8.6
40,Compra,Canelones,2007,15.2
41,Compra,Cerro Largo,2007,10.8
42,Compra,Colonia,2007,13.2
43,Compra,Durazno,2007,9.6
44,Compra,Flores,2007,11.0
45,Compra,Florida,2007,8.8
46,Compra,Lavalleja,2007,9.7
47,Compra,Maldonado,2007,12.4
48,Compra,Paysandu,2007,11.1
49,Compra,Rio Negro,2007,11.3
50,Compra,Rivera,2007,10.5
51,Compra,Rocha,2007,15.6
52,Compra,Salto,2007,11.8
53,Compra,San Jos�,2007,11.2
54,Compra,Soriano,2007,10.2
55,Compra,Tacuaremb�,2007,13.1
56,Compra,Treinta y Tres,2007,10.9
57,Alquiler,Montevideo,2007,20.2
58,Alquiler,Artigas,2007,13.8
59,Alquiler,Canelones,2007,17.8
60,Alquiler,Cerro Largo,2007,15.6
61,Alquiler,Colonia,2007,17.5
62,Alquiler,Durazno,2007,14.3
63,Alquiler,Flores,2007,16.0
64,Alquiler,Florida,2007,16.6
65,Alquiler,Lavalleja,2007,15.0
66,Alquiler,Maldonado,2007,18.6
67,Alquiler,Paysandu,2007,17.6
68,Alquiler,Rio Negro,2007,18.8
69,Alquiler,Rivera,2007,16.5
70,Alquiler,Rocha,2007,15.9
71,Alquiler,Salto,2007,15.9
72,Alquiler,San Jos�,2007,15.6
73,Alquiler,Soriano,2007,15.9
